Address,LocationName
"141 College Dr, Albemarle, NC 28001",Stanly Community College
"120 South Wingate Street; PO Box 1889, Wake Forest, NC 27588-1889",Southeastern Baptist Theological Seminary
"630 S. Main St., Dobson, NC 27017-8432",Surry Community College
"1247 Jimmie Kerr Road, Graham, NC 27253-8000",Alamance Community College
"21 Campus Circle, Murphy, NC 28906",Tri-County Community College
"PO Box 917 State Rd 1126, Henderson, NC 27536",Vance-Granville Community College
"1834 Wake Forest Road, Winston Salem, NC 27106",Wake Forest University
"9101 Fayetteville Road, Raleigh, NC 27603-5696",Wake Technical Community College
"701 Warren Wilson Rd, Swannanoa, NC 28778-2099",Warren Wilson College
"3643 N Roxboro Road, Durham, NC 27704-2763",Watts School of Nursing
"3000 Wayne Memorial Dr, Goldsboro, NC 27533-8002",Wayne Community College
"1001 Burkemont Ave, Morganton, NC 28655-4511",Western Piedmont Community College
"1328 South Collegiate Dr, Wilkesboro, NC 28697",Wilkes Community College
"P.O. Box 609, North Wilkesboro, NC 28659",Wilkes Regional Medical Center
"902 Herring Ave, Wilson, NC 27893-3310",Wilson Community College
"315 E. Wilson St., P. O. Box 159, Wingate, NC 28174-0157",Wingate University
"4209 Indiana Avenue, Winston Salem, NC 27105",Carolina Christian College
"1531 Silas Creek Pky, Winston Salem, NC 27127",Winston Salem Barber School
"601 Martin Luther King Jr Dr, Winston-Salem, NC 27110-0001",Winston-Salem State University
"225 Bird Building, Cullowhee, NC 28723-9646",Western Carolina University
"P.O. Box 5587, Bismarck, ND 58506-5587",Bismarck State College
"291 Campus Drive, Dickinson, ND 58601-4896",Dickinson State University
"301 College Drive, New Town, ND 58763-0490",Nueta Hidatsa Sahnish College
"2011 South Washington Street, Grand Forks, ND 58201",Josef's School of Hair Design Inc
"108 S Main St, Minot, ND 58701-3914",The Headquarters Academy of Hair Design
"6000 College Lane, Jamestown, ND 58405",University of Jamestown
"627 Northern Pacific Avenue, Fargo, ND 58102",Josef's School of Hair Design Inc
"1801 College Dr N, Devils Lake, ND 58301-1598",Lake Region State College
"214 1st Ave, Fort Totten, ND 58335",Cankdeska Cikana Community College
"7500 University Dr, Bismarck, ND 58504",University of Mary
"330 Third St NE, Mayville, ND 58257-1299",Mayville State University
"512 North 7th Street, Bismarck, ND 58501",Sanford College of Nursing
"500 University Ave W, Minot, ND 58707",Minot State University
"16 S Eighth Street, Fargo, ND 58103-1805",Moler Barber College of Hair Styling
"264 Centennial Drive Stop 8193, Grand Forks, ND 58202-8193",University of North Dakota
"800 N 6th St, Wahpeton, ND 58076",North Dakota State College of Science
"105 Simrall Blvd, Bottineau, ND 58318-1198",Dakota College at Bottineau
"1301  12th Avenue North, Fargo, ND 58105-5167",North Dakota State University
"1410 University Ave, Williston, ND 58801-1326",Williston State College
"1320 Tacoma Avenue, Bismarck, ND 58504",JZ Trend Academy Paul Mitchell Partner School
"720 4th Street North, Rt. #714, Fargo, ND 58122",MeritCare Medical Center/MeritCare Health System
"9299 Highway 24, Fort Yates, ND 58538",Sitting Bull College
"50 Sixth Avenue South, Ellendale, ND 58436-7150",Trinity Bible College and Graduate School
"P.O. Box 340, Belcourt, ND 58316",Turtle Mountain Community College
"3315 University Dr, Bismarck, ND 58504",United Tribes Technical College
"101 SW College St., Valley City, ND 58072",Valley City State University
"2076 Youngstown Warren Rd, Niles, OH 44446-4398",ETI Technical College
"1171 East Kemper Road, Cincinnati, OH 45246-3322",AIC College of Design
"2950 Hobson Way, Bldg 640, Wright-Patterson AFB, OH 45433",Air Force Institute of Technology
"147 Park St, Akron, OH 44308-1979",Adult Vocational Services
"2959 Barber Rd, Norton, OH 44203",Akron Machining Institute Inc
"302 Buchtel Common, Akron, OH 44325-4702",University of Akron
"1532 Peckham St, Akron, OH 44320",Akron School of Practical Nursing
"1901 Smucker Rd, Orrville, OH 44667",University of Akron - Wayne College
"2161 Woodsdale Rd, Salem, OH 44460-9598",Allegheny Wesleyan College
"124 East Seventh Street, Cincinnati, OH 45202",Antonelli College - Cincinnati
"3325 Shawnee Rd, Lima, OH 45801",Apollo Career Center
"1212 Jackson Street, Cincinnati, OH 45202-1706",Art Academy of Cincinnati
"4343 Bridgetown Rd, Cincinnati, OH 45211-4428",College of Art Advertising
"401 College Ave, Ashland, OH 44805",Ashland University
"1565 State Rte 167, Jefferson, OH 44047",Ashtabula County Technical and Career Campus
"6616 Beechmont Ave, Cincinnati, OH 45230-2091",Athenaeum of Ohio
"8140 Auburn Rd, Concord Township, OH 44077",Auburn Career Center
"275 Eastland Rd, Berea, OH 44017-2088",Baldwin Wallace University
"10500-04 Cedar Ave, Cleveland, OH 44106",Beatrice Academy of Beauty
"68094 Hammond Road, St. Clairsville, OH 43950",Belmont College
"1 University Drive, Bluffton, OH 45817-2104",Bluffton University
"1001 East Wooster Street, Bowling Green, OH 43403",Bowling Green State University
"351 Buckeye Hills Road,  P.O. Box 157, Rio Grande, OH 45674-0157",Buckeye Hills Career Center
"101 Jerry Couch Boulevard, Monroe, OH 45050",Butler Technology and Career Development Schools
"116 McKinley Avenue NW, Canton, OH 44702",Practical Nurse Program Canton City Schools
"1 College and Main, Columbus, OH 43209-2394",Capital University
"627 Main St, Zanesville, OH 43701",Valley Beauty School
"633 S Breiel Blvd, Middletown, OH 45044",Carousel Beauty College
"125 E Second St, Dayton, OH 45402",Carousel Beauty College
"7809 Waynetowne Blvd, Huber Heights, OH 45424",Carousel of Miami Valley Beauty College
"10900 Euclid Ave, Cleveland, OH 44106",Case Western Reserve University
"251 N. Main Street, Cedarville, OH 45314-0601",Cedarville University
"1179 University Drive, Newark, OH 43055-1767",Central Ohio Technical College
"4700 Rockside Road, Summit 1, Independence, OH 44131",Central School of Practical Nursing
"1400 Brush Row Rd, Wilberforce, OH 45384-1004",Central State University
"20918 State Route 251, St. Martin, OH 45118",Chatfield College
"200 E Wood St., Youngstown, OH 44503-1600",Choffin Career  and Technical Center
"2700 Glenway Ave, Cincinnati, OH 45204-3200",Cincinnati Christian University
"645 W North Bend Rd, Cincinnati, OH 45224-1462",Cincinnati College of Mortuary Science
"P.O. Box 210063, Cincinnati, OH 45221-0063",University of Cincinnati
"3520 Central Parkway, Cincinnati, OH 45223-2690",Cincinnati State Technical and Community College
"4200 Clermont College Dr, Batavia, OH 45103",University of Cincinnati Clermont College
"9555 Plainfield Rd, Blue Ash, OH 45236-1096",University of Cincinnati Blue Ash College
"1476 Lancaster Pike, Circleville, OH 43113",Ohio Christian University
"570 E Leffel Ln, Springfield, OH 45501-0570",Clark State Community College
"1502 Market St, Wheeling, WV 26003",Scott College of Cosmetology
"434 Market St, Steubenville, OH 43952-2853",Ohio Academy - A Paul Mitchell Partner School
"26500 Shaker Blvd, Beachwood, OH 44122",Siegal College of Judaic Studies
"11610 Euclid Avenue, Cleveland, OH 44106",Cleveland Institute of Art
"2450 Prospect Ave  E.  2nd Flr., Cleveland, OH 44115-2285",Cleveland Institute of Dental-Medical Assistants
"1776 East 17th Street, CLEVELAND, OH 44114",Cleveland Institute of Electronics
"11021 East Blvd, Cleveland, OH 44106-1776",Cleveland Institute of Music
"2121 Euclid Avenue, Cleveland, OH 44115-2214",Cleveland State University
"9364 St Rt 45, Lisbon, OH 44432",Columbiana County Career and Technical Center
"2469 Stelzer Road, Columbus, OH 43219",Bradford School
"107 N Ninth St, Columbus, OH 43215",Columbus College of Art and Design
"2745 Winchester Pike, Columbus, OH 43232",Kaplan College - Columbus
"P.O. Box 1609, 550 E. Spring St., Columbus, OH 43216",Columbus State Community College
"700 Carnegie Ave, Cleveland, OH 44115-2878",Cuyahoga Community College
"4747 Monroe St, Toledo, OH 43623",Davis College
"2741 C Lyons Road, Miamisburg, OH 45342",Dayton Barber College
"300 College Pk, Dayton, OH 45469",University of Dayton
"701 N. Clinton St., Defiance, OH 43512",Defiance College
"100 West College Rd, Granville, OH 43023-0713",Denison University
"6000 Lombardo Center, Suite 200, Seven Hills, OH 44131",Chancellor University
"7681 Beechmont Ave, Cincinnati, OH 45255",Eastern Hills Academy of Hair Design
"1973 Edison Dr, Piqua, OH 45356-9239",Edison State Community College
"316 W Mason Rd, Milan, OH 44846",EHOVE Adult Career Center
"34999 Euclid Avenue, Unit 25, Willoughby, OH 44094",Regency Beauty Institute - Willoughby
"1000 N Main St, Findlay, OH 45840-3695",The University of Findlay
"201 S Grant Ave, Columbus, OH 43215-5399",Franklin University
"1915 West Market Street, Akron, OH 44313",Gerber Akron Beauty School
"1810 Young Street, Cincinnati, OH 45202-6838",God's Bible School and College
"375 Dixmyth Avenue, Cincinnati, OH 45220-2489",Good Samaritan College of Nursing and Health Science
"230 North Lincoln Avenue, Suite 3, Salem, OH 44460-2906",Salem City Schools
"2323 Lexingron Avenue, Columbus, OH 43211",Adult Community Education Center
"One West 4th Street, New York, NY 10012-1186",Hebrew Union College - Jewish Institute of Religion
"310 E Market St, Tiffin, OH 44883-2462",Heidelberg University
"P. O. Box 67, Hiram, OH 44234",Hiram College
"400 Trade Square East, Troy, OH 45373-2400",Hobart Institute of Welding Technology
"3301 Hocking Pky, Nelsonville, OH 45764",Hocking College
"4599 Morse Center Road, Columbus, OH 43229-6665",American School of Technology
"11590 Century Boulevard, Suite 210, Cincinnati, OH 45246",Ross Medical Education Center
"6 S Smithville Rd, Dayton, OH 45431",International College of Broadcasting
"4000 Sunset Blvd, Steubenville, OH 43952-3598",Eastern Gateway Community College
"1 John Carroll Boulevard, University Heights, OH 44118-4581",John Carroll University
"6000 Mahoning Ave, Austintown, OH 44515",Casal Aveda Institute
"P.O. Box 5190, Kent, OH 44242-0001",Kent State University
"106 College-Park Street, Gambier, OH 43022",Kenyon College
"3737 Southern Blvd, Kettering, OH 45429-1299",Kettering College
"391 W Washington St, Painesville, OH 44077-3389",Lake Erie College
"7700 Clocktower Dr, Kirtland, OH 44094-5198",Lakeland Community College
"11627 State Rte 243, Chesapeake, OH 45619-0000",Collins Career Center
"4240 Campus Dr, Lima, OH 45804-4242",James A Rhodes State College
"5956 Buckwheat Road, Milford, OH 45241",Live Oaks Career Development Campus
"5095 Waterford Drive, Sheffield Village, OH 44035",Ohio Business College
"1005 North Abbe Rd, Elyria, OH 44035-1691",Lorain County Community College
"6832 Convent Blvd, Sylvania, OH 43560-2898",Lourdes University
"2600 Cleveland Ave. NW, Canton, OH 44709",Malone University
"335 Glessner Ave, Mansfield, OH 44903-2265",MedCentral College of Nursing
"215 Fifth Street, Marietta, OH 45750",Marietta College
"1467 Mt. Vernon Ave., Marion, OH 43302-5694",Marion Technical College
"1101 W Liberty St, Medina, OH 44256",Medina County Career Center
"2221 Madison Avenue, Toledo, OH 43604-1132",Mercy College of Ohio
"3081 Columbus Pike, Delaware, OH 43015",Methodist Theological School in Ohio
"501 East High St, Oxford, OH 45056",Miami University
"6142 Montgomery Road, Cincinnati, OH 45213",Moler Hollywood Beauty Academy
"6800 Hoke Rd, Clayton, OH 45315",Miami Valley Career Technology Center
"7030 Reading Road, Ste. 640, Cincinnati, OH 45237-3839",Moore Universite' of Hair Design
"127 So.  Davis Ave, Columbus, OH 43222-1504",Mount Carmel College of Nursing
"1972 Clark Ave., Alliance, OH 44601-3993",University of Mount Union
"800 Martinsburg Rd, Mount Vernon, OH 43050-9500",Mount Vernon Nazarene University
"5701 Delhi Rd, Cincinnati, OH 45233-1670",Mount St. Joseph University
"1555 Newark Rd, Zanesville, OH 43701-9938",Zane State College
"163 Stormont Street, New Concord, OH 43762",Muskingum University
"2545 Bailey Road, Cuyahoga Falls, OH 44221-2949",National Institute of Technology
"4642 Cleveland Ave NW, Canton, OH 44709-1837",National Beauty College
"2441 Kenwood Circle, Mansfield, OH 44901-0698",North Central State College
"669 Broadway, Lorain, OH 44052-1803",Northern Institute of Cosmetology
"22600 State Route 34, Archbold, OH 43502-9542",Northwest State Community College
"1530 North Superior Street, Toledo, OH 43604",Toledo Public Schools Adult and Continuing Education
"4545 College Rd, Cleveland, OH 44121-4293",Notre Dame College
"4209 State Route 44, Rootstown, OH 44272-0095",Northeast Ohio Medical University
"1441 N Cable Rd, Lima, OH 45805",University of Northwestern Ohio
"70 N Professor St, Oberlin, OH 44074",Oberlin College
"225 Heritage Woods Dr, Akron, OH 44321",Ohio College of Massotherapy Inc
"1374 E 51st St, Cleveland, OH 44103",Ohio Technical College
"1216 Sunbury Rd, Columbus, OH 43219",Ohio Dominican University
"2800 East River Road, Dayton, OH 45439",Brightwood College
"525 Main St, Ada, OH 45810-1599",Ohio Northern University
"1760 North Eastown Road, Lima, OH 45807",Ohio State Beauty Academy
"4614 E Broad St, Columbus, OH 43213",Ohio State College of Barber Styling
"4390 Karl Rd, Columbus, OH 43203",Ohio State School of Cosmetology & Experts Barber School
"5050 North High Street, Columbus, OH 43214",The Spa School
"6077 Gender Road, Canal Winchester, OH 43110",Ohio State School of Cosmetology
"1585 Neil Avenue, Columbus, OH 43210",Ohio State University
", Athens, OH 45701-2979",Ohio University - Main Campus
"15258 State Route 170, East Liverpool, OH 43920",Ohio Valley College of Technology
"380 Summit Ave, Steubenville, OH 43952",Trinity Health System School of Nursing
"61 S Sandusky Street, Delaware, OH 43015-2370",Ohio Wesleyan University
"1 South Grove Street, Westerville, OH 43081",Otterbein University
"30335 Oregon Rd, Perrysburg, OH 43551",Owens Community College
"1745 11th St, Portsmouth, OH 45662-4527",Paramount Beauty Academy
"8001 Brecksville Road, Brecksville, OH 44141-1296",Cuyahoga Valley Career Center
"1230 Wilberforce Clifton Road, PO Box 474, Wilberforce, OH 45384-0474",Payne Theological Seminary
"7625 N High, Columbus, OH 43235-1498",Pontifical College Josephinum
"1505 Holland Road, Maumee, OH 43537",Professional Skills Institute
"1912 Hayes Ave, Sandusky, OH 44870-4788",Firelands Regional Medical Center School of Nursing
"28400 Euclid Ave, Wickliffe, OH 44092",Rabbinical College of Telshe
"2733 Robbins Avenue, Niles, OH 44446",Raphael's School of Beauty Culture
"555 E Alex Bell Road, Centerville, OH 45459-2712",Fortis College - Centerville
"2115 Front Street, Cuyahoga Falls, OH 44221",Riggs Lemar Beauty College
"218 N College Ave, Rio Grande, OH 45674",University of Rio Grande/Rio Grande Community College
"28700 Euclid Ave, Wickliffe, OH 44092-2585",Saint Mary Seminary and Graduate School of Theology
"1725 E David Rd, Kettering, OH 45440",School of Advertising Art
"940  Second  St, Portsmouth, OH 45662",Shawnee State University
"444 W. Third St., Dayton, OH 45402-1460",Sinclair Community College
"1176 Jackson Pke, Suite 312, Gallipolis, OH 45631-2600",Gallipolis Career College
"111 W  1st  Street, Dayton, OH 45402",Lincoln College of Technology - Dayton
"6200 Frank Ave NW, North Canton, OH 44720",Stark State College
"1796 Indian Wood Circle, Maumee, OH 43537",Stautzenberger College
"1235 University Blvd, Steubenville, OH 43952-1763",Franciscan University of Steubenville
"100 Hobart Dr, Hillsboro, OH 45133",Southern State Community College
"10765 Reading Road, Cincinnati, OH 45241",Ohio Mid-Western College
"2830 Napoleon Rd, Fremont, OH 43420-9670",Terra State Community College
"104 E Market St, Tiffin, OH 44883",Tiffin Academy of Hair Design
"155 Miami Street, Tiffin, OH 44883",Tiffin University
"1320  Mercy Dr NW, Canton, OH 44708",Mercy Medical Center School of Radiology
"2801 W Bancroft, Toledo, OH 43606-3390",University of Toledo
"8720 Brookpark Road, Brooklyn, OH 44129",Kaplan Career Institute - Brooklyn
"506 Margaret St, South Point, OH 45680",Tri-State Bible College
"15676 St Rt 691, Nelsonville, OH 45764",Tri-County Adult Career Center
"2222 Marion- Mt. Gilead Rd, Marion, OH 43302",Tri-Rivers Career Center
"2199 E Main St, Columbus, OH 43209-2334",Trinity Lutheran Seminary
"3200 Ridge Road, Warren, OH 44484-3200",Trumbull Business College
"440 E McMillan St, Cincinnati, OH 45206-1925",Union Institute & University
"4501 Denlinger Rd., Dayton, OH 45426",United Theological Seminary
"8811 Career Drive, Piqua, OH 45356",Upper Valley Career Center
"579 College Way, Urbana, OH 43078-2091",Urbana University
"2550 Lander Rd, Pepper Pike, OH 44124",Ursuline College
"706 Wheeling Avenue, Cambridge, OH 43725",Valley Beauty School
"11724 Detroit Avenue, Lakewood, OH 44107",Virginia Marti College of Art and Design
"4401 Shriver Rd, Green, OH 44232-0248",W Howard Nicol School of Practical Nursing
"2020 East Maple St, North Canton, OH 44720-3396",Walsh University
"710 Colegate Dr, Marietta, OH 45750",Washington State Community College
"6490 Glenway Avenue, Cincinnati, OH 45211",Western Hills School of Beauty and Hair Design
"1055 N Bickett Rd, Wilberforce, OH 45384-1001",Wilberforce University
"251 Ludovic St, Wilmington, OH 45177",Wilmington College
"950 North Main Street, Findlay, OH 45840",Winebrenner Theological Seminary
"Ward St at N Wittenberg Ave, Springfield, OH 45504",Wittenberg University
"1189 Beall Avenue, Wooster, OH 44691",The College of Wooster
"3640 Colonel Glenn Highway, Dayton, OH 45435-0001",Wright State University
"3800 Victory Parkway, Cincinnati, OH 45207-1092",Xavier University
"One University Plaza, Youngstown, OH 44555-0001",Youngstown State University
"1406 Gary Blvd., Clinton, OK 73505",Aladdin Beauty College #20
"4511 SE 29th St, Oklahoma City, OK 73115",American Broadcasting School
"2299 Old Bacone Rd., Muskogee, OK 74403",Bacone College
"2201 Silver Lake Rd, Bartlesville, OK 74006-6299",Oklahoma Wesleyan University
"6729 NW 39th Expy, Bethany, OK 73008",Southern Nazarene University
"400 South Elm Place, Broken Arrow, OK 74012","Broken Arrow Beauty College, Inc"
"601 W 33rd St, Ada, OK 74820",Pontotoc Technology Center
"2800 Gore Blvd, Lawton, OK 73505",Cameron University
"1507 S McKenna, Poteau, OK 74953-5208",Carl Albert State College
"8494 North West Expressway, Oklahoma City, OK 73162-6007",Central State Beauty and Wellness College
"100 N. University Dr., Edmond, OK 73034",University of Central Oklahoma
"200 N Cherokee, Claremore, OK 74017",Claremore Beauty College
"Route 1 Box 1000, Warner, OK 74469",Connors State College
"1100 E. 14th Street, Ada, OK 74820",East Central University
"1301 W. Main, Wilburton, OK 74578",Eastern Oklahoma State College
"1300 S Country Club Rd, El Reno, OK 73036-5304",Redlands Community College
"3905 South La Mesa Drive, Enid, OK 73703",Enid Beauty College
"912 C Ave, Lawton, OK 73501",Eve's College of Hairstyling
"3701 S. I-35 Frontage Road, PO Box 7208, Moore, OK 73160",Randall University
"1708 W Lindsey, Norman, OK 76034",Hollywood Cosmetology Center
"102 Page Hall, Langston, OK 73050",Langston University
"One Murray Campus, Tishomingo, OK 73460",Murray State College
"8820 E Pine St, Tulsa, OK 74115",Spartan College of Aeronautics and Technology
"600 N Grand, Tahlequah, OK 74464-2399",Northeastern State University
"605  E. Downing Street, Tahlequah, OK 74465",Beauty Technical College Inc
"1220 E Grand Ave, Tonkawa, OK 74653",Northern Oklahoma College
"200 I St NE, Miami, OK 74354",Northeastern Oklahoma A&M College
"709 Oklahoma Blvd, Alva, OK 73717-2799",Northwestern Oklahoma State University
"P.O. Box 11000, Oklahoma City, OK 73013-1100",Oklahoma Christian University
"323 Eagle Ave, Goodwell, OK 73939-0430",Oklahoma Panhandle State University
"107 Whitehurst Hall, Stillwater, OK 74078",Oklahoma State University
"900 N Portland, Oklahoma City, OK 73107-6195",Oklahoma State University - Oklahoma City
"500 W University, Shawnee, OK 74804",Oklahoma Baptist University
"7777 S May Ave, Oklahoma City, OK 73159-9987",Oklahoma City Community College
"2501 N Blackwelder, Oklahoma City, OK 73106-1402",Oklahoma City University
"660 Parrington Oval, Room 110, Norman, OK 73019",University of Oklahoma
"2306 N Moore Ave, Moore, OK 73160",Oklahoma School of Photography
"1801 E 4th St, Okmulgee, OK 74447-3901",Oklahoma State University Institute of Technology - Okmulgee
"7777 S Lewis, Tulsa, OK 74171",Oral Roberts University
"3850 N Peoria Ave, Tulsa, OK 74106-1600",Tulsa Technology Center - Peoria
"309 S Ann Arbor, Oklahoma City, OK 73128-1112",Platt College
"301 Truman, Poteau, OK 74953",Poteau Beauty College
"1701 W Will Rogers Blvd, Claremore, OK 74017-3252",Rogers State University
"6420 S E 15th, Midwest City, OK 73110-2799",Rose State College
"1900 W MacArthur, Shawnee, OK 74804",Saint Gregory's University
"1727 West Alabama, Chickasha, OK 73018-5322",University of Science and Arts of Oklahoma
"2701 Boren Blvd, Seminole, OK 74868-1901",Seminole State College
"140 W Main St, Durant, OK 74701",Southern School of Beauty Inc
"2514 S Agnew Ave, Oklahoma City, OK 73108",State Barber and Hair Design College
"425 West University Boulevard, Durant, OK 74701-3347",Southeastern Oklahoma State University
"7210 NW 39th Expressway, Bethany, OK 73008",Southwestern Christian University
"100 Campus Dr, Weatherford, OK 73096-3098",Southwestern Oklahoma State University
"6111 E Skelly Dr, Tulsa, OK 74135",Tulsa Community College
"2545 E. 11th Street, Tulsa, OK 74104-3909",Tulsa Welding School
"800 South Tucker Drive, Tulsa, OK 74104-3189",University of Tulsa
"111 S Ninth St, Muskogee, OK 74401-6802",Virgil's Beauty College
"240 Vo-Tech Road, Tahlequah, OK 74464",Indian Capital Technology Center - Bill Willis/Tahlequah
"2801 N Main St, Altus, OK 73521-1397",Western Oklahoma State College
"502 Texas, Woodward, OK 73801",Woodward Beauty College
"3921 34th St, Woodward, OK 73801",High Plains Technology Center
"305 Court NE, Salem, OR 97301",Academy of Hair Design Inc
"843 E Main Ste 203, Medford, OR 97504-7137",Abdill Career College Inc
"1180 Commercial St, Astoria, OR 97103",Paul Mitchell-The School
"1122 NW Davis St., Portland, OR 97209-2911",The Art Institute of Portland
"1221 SW 12th Avenue, Portland, OR 97205",Beau Monde College of Hair Design
"2411 NW Carden Ave, Pendleton, OR 97801",Blue Mountain Community College
"2600 NW College Way, Bend, OR 97701",Central Oregon Community College
"4000 Lancaster Dr NE, Salem, OR 97305",Chemeketa Community College
"19600 South Molalla Ave, Oregon City, OR 97045",Clackamas Community College
"1653 Jerome Ave, Astoria, OR 97103",Clatsop Community College
"1684 Clay St NE, Salem, OR 97301",College of Hair Design Careers
"1425 NE Irving Street, Bldg 300, Portland, OR 97232",Concorde Career Institute
"2811 NE Holman Street, Portland, OR 97211-6099",Concordia University
"8338 NE Alderwood Road, Ste 100, Portland, OR 97220",Sumner College
"525 NE Oregon Street, Portland, OR 97232-0000",East-West College of the Healing Arts
"One University Boulevard, La Grande, OR 97850",Eastern Oregon University
"1542 NE Weider Ave, Portland, OR 97232",Phagans School of Hair Design
"2155 Bailey Hill Rd, Eugene, OR 97405",New Hope Christian College
"414 N Meridian St, Newberg, OR 97132",George Fox University
"304 NE Agness Ave.  Suite F, Grants Pass, OR 97526",Phagans Grants Pass College of Beauty
"4000 East 30th Avenue, Eugene, OR 97405-0640",Lane Community College
"0615 S W Palatine Hill Rd, Portland, OR 97219-7899",Lewis & Clark College
"900 SE Baker, McMinnville, OR 97128-6894",Linfield College
"6500 Pacific Blvd SW, Albany, OR 97321",Linn-Benton Community College
"17600 Pacific Hwy - Hwy 43, Marylhurst, OR 97036-0261",Marylhurst University
"2320 Poplar Dr, Medford, OR 97504",Phagans Medford Beauty School
"8307 South East Monterey Avenue, Clackamas, OR 97086",Northwest College School of Beauty
"1 Abbey Dr, Saint Benedict, OR 97373-9700",Mount Angel Seminary
"26000 SE Stark Street, Gresham, OR 97030",Mt. Hood Community College
"8435 NE Glisan St, Portland, OR 97220",Multnomah University
"049 SW Porter, Portland, OR 97201",National University of Natural Medicine
"11830 SW Kerr Pky Ste 330, Lake Oswego, OR 97035",Northwest Nannies Institute
"622 Southeast Grand Avenue, Portland, OR 97214",Montessori Northwest
"828 East 11th Avenue, Eugene, OR 97401-3745",Northwest Christian University
"3181 SW Sam Jackson Park Rd, Portland, OR 97239-3098",Oregon Health & Science University
"3201 Campus Drive, Klamath Falls, OR 97601-8801",Oregon Institute of Technology
"8245 SW Barnes Rd, Portland, OR 97225",Oregon College of Art and Craft
", Corvallis, OR 97331",Oregon State University
"110 Johnson Hall, Eugene, OR 97403",University of Oregon
"1241 NW Johnson, Portland, OR 97209-3023",Pacific Northwest College of Art
"2043 College Way, Forest Grove, OR 97116",Pacific University
"1565 South 53rd Street, Corvallis, OR 97333",Phagans' Beauty College
"1310 NE Cushings Drive, Bend, OR 97701",Phagans' Central Oregon Beauty College
"622 Lancaster Dr NE, Salem, OR 97301",Phagans' School of Beauty
"12000 SE 82nd Avenue, Suite 4010, Happy Valley, OR 97086",Phagan's School of Hair Design
"8820 SW Center Street, Portland, OR 97223",Summit Salon Academy-Portland
"12000 SW 49th Avenue, Portland, OR 97219-7132",Portland Community College
"724 SW Harrison, Portland, OR 97201",Portland State University
"5000 N Willamette Blvd, Portland, OR 97203-5798",University of Portland
"3203 SE Woodstock Boulevard, Portland, OR 97202-8199",Reed College
"3345 Redwood Highway, Grants Pass, OR 97527",Rogue Community College
"700 SE Stephens St, Roseburg, OR 97470",Roseburg Beauty College
"27375 SW Parkway, Wilsonville, OR 97070-9296",Pioneer Pacific College
"307 Q Street, Springfield, OR 97477",Springfield College of Beauty
"1250 Siskiyou Blvd, Ashland, OR 97520",Southern Oregon University
"1988 Newmark Ave, Coos Bay, OR 97420-2193",Southwestern Oregon Community College
"650 College Blvd, Ontario, OR 97914",Treasure Valley Community College
"1140 College Rd., Roseburg, OR 97470-0226",Umpqua Community College
"2219 SE 68th Ave, Portland, OR 97215-4026",Warner Pacific College
"5000 Deer Park Drive SE, Salem, OR 97317-9392",Corban University
"357 E Main St, Klamath Falls, OR 97601-3233",College of Cosmetology
"600 SW 10th Avenue #400, Portland, OR 97205",Everest College - Portland
"5511 SE Hawthorne Blvd, Portland, OR 97215-3367",Western Seminary
"900 State St, Salem, OR 97301",Willamette University
"12753 SW 68th Avenue, Portland, OR",Portland Seminary of George Fox University
"345 N Monmouth Ave, Monmouth, OR 97361-1394",Western Oregon University
"2900 NE 132nd Ave, Portland, OR 97230-3099",University of Western States
"1057 A North Church Street, Hazleton, PA 18202",Jolie Health and Beauty Academy of Hazelton
"2301 Academy Dr, Harrisburg, PA 17112-1012",Keystone Technical Institute
"P. O. Box 717, Bryn Athyn, PA 19009-0717",Bryn Athyn College of the New Church
"1920 Spruce Street, Philadelphia, PA 19103",Academy of Vocal Arts
"5501 Old York Road, Philadelphia, PA 19141",Albert Einstein Medical Center
"P. O. Box 15234, Reading, PA 19612-5234",Albright College
"501 Seminole St, Lester, PA 19029",All-State Career School
"800 Allegheny Ave, Pittsburgh, PA 15233-1895",Community College of Allegheny County
"520 N Main St, Meadville, PA 16335-3902",Allegheny College
"50 East Bulter Pike, Amber, PA 19002",The Beauty Institute
"2755 Station Avenue, Center Valley, PA 18034-9568",DeSales University
"1528 Valley View Blvd., Altoona, PA 16602-6039",Altoona Beauty School Inc
"400 Saint Bernardine St, Reading, PA 19607-1799",Alvernia University
"50 East Butler Pike, Ambler, PA 19002",Toni & Guy Hairdressing Academy - Ambler
"270 Bryn Mawr Ave, Bryn Mawr, PA 19010-2196","American College, The (of Financial Services)"
"300 Montgomery Ave, Erdenheim, PA 19038-8242",Antonelli Institute
"1409 Williams Road, York, PA 17402-9012",The Art Institute of York
"1622 Chestnut Street, Philadelphia, PA 19103-5198",The Art Institute of Philadelphia
"179 Hillcrest Shopping Ctr., Lower Burrell, PA 15068-6308",Career Training Academy
"1400 Penn Avenue, Pittsburgh, PA 15222",The Art Institute of Pittsburgh
"114 Pickering Way, Exton, PA 19341-1310",Automotive Training Center
"538 Venard Rd, Clarks Summit, PA 18411",Clarks Summit University
"1 Campus Dr, Monaca, PA 15061-2588",Community College of Beaver County
"450 S Easton Rd, Glenside, PA 19038-3295",Arcadia University
"1901 W Girard Ave, Philadelphia, PA 19130-9714",Berean Institute
"200 N Main St, Hatfield, PA 19440",Missio Theological Seminary
"1815 Metropolitan St, Pittsburgh, PA 15233",Bidwell Training Center
